"jvm","mode","gcc","gc","benchmark","category","cpu","ti","ipc","tbr","tbrpti","brmps","tbmr","bmr","tl1dl","tl1dlpti","l1dlmps","tl1dlmr","l1dlmr","tl2dl","tl2dlpti","l2dlmps","tl2dlmr","l2dlmr","tpf","tpfpti","pfmr","pfkps","to","topti","rtp","tc","meanA","stdA","minA","maxA","samplesA","meanV","stdV","minV","maxV","samplesV","meanW","stdW","minW","maxW","samplesW","C","Ah","energyJ","energyWh","l1dlmrps","l2dlmrps"
"j14","INT","GCC8","CGC","rx-scrabble","functional",1.0793125,98460575367.9688,0.6721875,14492196953.0312,14.7187859125634,145.8914375,2255228710.78125,15.561875,48469650312.5312,49.2274812492326,487.93834375,1770055675.84375,3.65125,2674853661.03125,2.71667993258449,26.918,41083589.1875,1.53875,53694.09375,5.45336053034571e-05,0.130877214009229,0.5405,32823874441.375,33.3370529056195,92.0433948745937,99340.74723275,0.686832,0.0612663,0.500205,1.38042,182630800,5.01908,0.0125209,4.87027,5.0757,182630800,3.44668,0.298726,2.5247,6.75904,182630800,62.7183,0.0174218,314.735,0.0874264,17.8158487761719,0.414200725
"j14","INT","GCC8","CGC","scala-doku","scala",1.00159375,939754470974,0.994375,108791769521.844,11.576617957424,170.83359375,6897013985.34375,6.3384375,394857286674.812,42.0170842197289,619.99196875,7036348711.875,1.78125,10415218651.5,1.10829945708562,16.27584375,506888556.3125,5.1875,290947.1875,3.0960713516747e-05,0.0593760722074379,0.45653125,425690196125.844,45.2979983657615,636.347689058375,637371.781234563,0.687643,0.0439557,0.521218,1.39343,1234588165,5.01892,0.00925875,4.86913,5.07683,1234588165,3.451,0.215974,2.62721,6.81314,1234588165,424.478,0.117911,2130.28,0.591745,11.0436069433594,0.84430939453125
"j14","INT","GCC8","CGC","scala-kmeans","scala",1.00296875,216983087950.781,0.975625,33197427643.8438,15.2995461009799,222.049875,1915627364.71875,5.77,88043801791.0938,40.5763448258094,588.90046875,2518790247.4375,2.8609375,3451977407.84375,1.59089409607846,23.06571875,23211731.25,0.6790625,42132.59375,1.94174560876592e-05,0.18165527083177,0.2818125,92289881108,42.5332149771323,149.086717120375,149535.02163,0.685596,0.0440246,0.571916,1.3484,293722094,5.01943,0.00929269,4.87481,5.06775,293722094,3.44107,0.216324,2.87756,6.61297,293722094,100.687,0.0279687,505.359,0.140378,16.8480743481445,0.156630646386719
"j14","INT","GCC8","CGC","scala-stm-bench7","scala",1.34990625,236798232332.062,0.693125,34085457143.3125,14.3942990195961,147.85478125,4141656964.65625,12.149375,105095510310.375,44.3818733166452,455.885625,5823276655.75,5.5396875,10184548412.375,4.30092322282142,44.14584375,133041687.9375,1.311875,106904.40625,4.51457812519401e-05,0.0805013057838408,0.46371875,87432716466,36.9229044409373,170.807846657312,230558.833908,0.723607,0.116525,0.52989,1.62223,340593278,5.01168,0.0231288,4.81919,5.0791,340593278,3.62398,0.563078,2.66912,7.86964,340593278,123.228,0.0342299,617.152,0.171431,25.2546389824219,0.579138287695312
"j14","INT","GCC8","CGC","scrabble","functional",2.597125,289847021185.688,0.6453125,41104272944.375,14.1813692970367,135.387375,6525081327.4375,15.8740625,139758409804.094,48.2179946114479,460.3313125,6748707002.625,4.828125,13862071081.9062,4.78254980289018,45.6425,117922756.96875,0.8503125,180557,6.22938402911354e-05,0.153891788429455,0.5946875,95122267355.3125,32.8180862886252,117.240064345937,303625.18266,0.84596,0.137035,0.58259,1.6169,243558431,4.98762,0.0273205,4.81919,5.06548,243558431,4.21578,0.661532,2.9306,7.84903,243558431,103.02,0.0286168,513.395,0.14261,22.2253711816406,0.3881038828125
"j14","INT","GCC8","G1GC","akka-uct","concurrency",3.86134375,5269794078056.91,0.7909375,735015505518.906,13.9476994699833,162.90978125,74486335688.625,10.13375,2463892749212.62,46.7550088569446,546.10078125,60794386144.9062,2.4678125,127177076373.656,2.41331835368857,28.17503125,5785860926.3125,4.565625,391737.625,7.43382211602911e-06,0.00679075808151784,0.08684375,1943708746951.72,36.8839733193836,1168.51898574803,4512048.83665406,1.0139,0.0868934,0.506543,1.74198,2318452397,4.95539,0.0175722,4.79536,5.08024,2318452397,5.02293,0.418628,2.55664,8.41073,2318452397,1175.33,0.326482,5822.72,1.61742,13.4767433422852,1.28636627050781
"j14","INT","GCC8","G1GC","chi-square","apache",1.28015625,1389827073209.38,0.6678125,190007005085.75,13.6712648541232,135.27890625,31859052565.5312,16.7665625,650958798913.406,46.8373861936327,463.46590625,32106618863.4375,4.931875,48484035904.4375,3.48848179492457,34.5043125,443037168.5,0.914375,457871.875,3.29445742035204e-05,0.103925318100203,0.326,500377233305.781,36.0028671573195,1097.48154273644,1404612.09784894,0.708585,0.0676333,0.471521,1.5652,2179920741,5.016,0.0136517,4.83735,5.09159,2179920741,3.55352,0.330598,2.38152,7.61436,2179920741,772.33,0.214536,3873.2,1.07589,22.8575591638672,0.315498807421875
"j14","INT","GCC8","G1GC","dec-tree","apache",2.3226875,1123401290453.09,0.674375,156276342836,13.9110074154256,138.68915625,21953131345.875,14.046875,527240111731.562,46.9325029197524,467.91009375,22354607090.125,4.2396875,47650990243.625,4.24170967843919,42.27475,493878652.78125,1.038125,419615.96875,3.73522763204133e-05,0.0850005245396515,0.372375,392233845641.906,34.9147799863829,485.663225932563,1126844.41195959,0.819606,0.113899,0.473188,1.60055,979951310,4.99466,0.0224824,4.82373,5.09045,979951310,4.09129,0.552482,2.38941,7.77878,979951310,401.587,0.111552,2004.63,0.556843,19.837925755957,0.4388647484375
"j14","INT","GCC8","G1GC","dotty","scala",0.9979375,339362770215.156,0.670625,48467869254.5938,14.2820239857284,140.0505,6445205292.03125,13.2975,156270464459.156,46.0482096657761,451.55196875,6857903082.96875,4.3871875,12563254224.6562,3.70202052479186,36.29715625,846838531.375,6.74875,348451.5,0.00010267875656173,0.0411528097008321,0.02496875,122061182276.75,35.9677458237036,346.815487232156,346081.07976825,0.677823,0.0448157,0.468519,1.3494,707540423,5.0224,0.00929839,4.88162,5.09045,707540423,3.40407,0.220633,2.36583,6.62094,707540423,239.794,0.0666093,1204.26,0.334516,19.8104315290039,2.44960433242188
"j14","INT","GCC8","G1GC","finagle-chirper","web",3.51109375,1019225463630.84,0.6740625,140729660844.312,13.8075141139393,134.68315625,17176728585.375,12.205625,447759128487.312,43.9313085106255,428.52003125,17303438038.125,3.8640625,39119351279.1562,3.83815177419249,37.4253125,4269585629.46875,10.94375,298160.59375,2.92554378268791e-05,0.0069817112772586,0.28540625,391617323020.062,38.4230256012427,297.618455467281,1044958.62250194,0.960403,0.11897,0.444504,1.63991,589964872,4.96716,0.0235728,4.81806,5.09499,589964872,4.76789,0.573584,2.24557,7.94586,589964872,283.302,0.078695,1406.44,0.390679,16.5582818325195,4.09573263671875
"j14","INT","GCC8","G1GC","finagle-http","web",3.56334375,519754577963.906,0.5565625,70912426862.7812,13.6434448898693,107.84934375,10503466175.3125,14.8109375,240022356741.875,46.1799426942596,365.0460625,9704343169.15625,4.0434375,25326676009.5,4.87281748063831,38.51015625,2687708619.3125,10.6296875,294681.28125,5.66964518733408e-05,0.0109893283962877,0.44809375,183493118349.75,35.3037949352327,184.540969978906,657533.474255688,0.941181,0.108,0.498204,1.63691,365984015,4.97076,0.0215584,4.81806,5.08364,365984015,4.67627,0.52127,2.51403,7.93503,365984015,172.229,0.0478413,855.72,0.2377,14.7604093833984,4.09350926513672
"j14","INT","GCC8","G1GC","fj-kmeans","concurrency",3.803125,2838915602815.38,1.091875,351754332196.719,12.3904467955456,201.42396875,18271298970.0625,5.194375,1300420974210.44,45.8069600506064,744.6514375,9457224925.40625,0.726875,17087335201.2188,0.60189400884955,9.7603125,850123757.8125,5.1434375,383708.125,1.35160102877163e-05,0.0451586729483725,0.21978125,1169652961207,41.2006991449985,459.274490983312,1746699.15766406,1.03447,0.117456,0.557908,1.73997,947274437,4.95253,0.0232958,4.7999,5.07002,947274437,5.12073,0.564838,2.80961,8.40897,947274437,489.963,0.136101,2425.37,0.673713,5.41268513632813,0.502015573242187
"j14","INT","GCC8","G1GC","future-genetic","functional",1.99065625,329447845700.25,0.8009375,41715319227.4688,12.6622321658179,147.7543125,4317576324.78125,10.349375,147448730538.406,44.7564041372347,522.26165625,5865661245.25,3.9765625,11781424713.4062,3.57630785458281,41.67853125,272083786.59375,2.3265625,284228.4375,8.62720633665335e-05,0.104521277509574,0.17415625,128502371220.969,39.0050558423645,141.8441436975,282379.169491531,0.792621,0.0551899,0.530891,1.55152,291795872,5.00008,0.0114502,4.83395,5.0791,291795872,3.96274,0.268944,2.67717,7.54808,291795872,115.642,0.0321227,578.155,0.160599,20.7680611743164,0.969677078613281
"j14","INT","GCC8","G1GC","gauss-mix","apache",1.88425,2066441786126.25,0.808125,243406185830.594,11.7789993726463,141.56484375,31394380539.25,12.898125,920111573724.219,44.5263698068964,535.14040625,21612405443.2812,2.349375,42323321385,2.04812111950089,24.56821875,440475778.125,1.0634375,358157.09375,1.73320679319321e-05,0.081527169894924,0.20834375,860600705186.438,41.6465097009564,912.922230368875,1719718.50728056,0.771018,0.056391,0.472188,1.47815,1784754139,5.00404,0.011564,4.85438,5.08932,1784754139,3.85775,0.275747,2.38543,7.21579,1784754139,688.039,0.191122,3442.57,0.956268,12.5724549193359,0.261267651269531
"j14","INT","GCC8","G1GC","log-regression","apache",1.70359375,941850290423.281,0.85125,142922888671.5,15.1575150148929,189.76534375,10210856554.9062,7.2965625,431139055367.094,45.7803690368274,572.946875,9328767169.4375,2.20375,21374841400.25,2.31783305347504,28.81184375,359381410.90625,1.686875,540916.21875,5.97385052556316e-05,0.15306666586973,0.62840625,346413504984.438,36.7442828948047,440.034367347438,749065.176199469,0.760073,0.0681798,0.471854,1.46247,890279275,5.00639,0.0137733,4.85778,5.09045,890279275,3.80448,0.333198,2.38374,7.14253,890279275,338.338,0.0939829,1693.52,0.470423,12.6263167578125,0.486019789257813
"j14","INT","GCC8","G1GC","mnemonics","functional",1.00290625,895885406836.469,0.6303125,124265026025.281,13.8706357489331,130.11896875,24071589676.9375,19.36875,442871398450.312,49.4339294845012,463.741375,24909455215.625,5.62375,27995395975.0938,3.12488136775411,29.2971875,115968047.59375,0.4153125,358933.03125,4.00646042158021e-05,0.309904499556356,0.37575,300753586385.781,33.5705533988115,952.187196876469,955079.795706813,0.677588,0.043242,0.532559,1.53485,1924617506,5.02252,0.00900072,4.83849,5.0791,1924617506,3.40299,0.212887,2.68437,7.4786,1924617506,652.049,0.181125,3274.73,0.909647,26.0796555765625,0.121674881835937
